rid,pid,score,info
20,3,5," Perfect Christmas present for the |big kid| ordered as a Christmas gift for my dad& he loves trains. It arrived on time and looks great."
21,3,5," As Usual top quality Hornby quality& lovely cute set which kids of all ages will adore"
22,3,5," This was a fantastic item& and has finally made my Christmas village scene for all to enjoy. Thank you very much."
23,3,5," Great price& arrived in good time& packaged well& appears to be new and original& presentation of train package looks good& the train looks fab (realistic) and works well.  My little boy was thrilled...  Pity it didn't make any sounds..."
24,3,1," Really disappointed - train worked twice and then power unit stopped working just in time for Christmas. Son was really excited but the whole controller unit felt flimsy& which seems to have been proved by its decision to conk out."
25,4,5," Xmas box for grandson&am sure it will be great"
26,5,5," Grandson loved it. Hauls good load"
27,6,5," very good"
28,7,5," Beautiful model& If your a fan of the G.W.R& this loco is a must have& Just that."
29,7,5," Christmas gift for him in doors he will love it"
30,7,5," runs very smooth& good model"
31,8,4," Lovely quality from Kato."
32,9,5," I NOW HAVE A SECOND OF THESE BACHMANN POWERHAULS COMING AS THEY CAN TAKE REAL TRAINS BETWEEN 20-30 WAGONSOF A HEAVY WEIGHT."
33,10,5," This is an excellent HO scale diorama piece comprising of a long wooden wagon bearing a very long barrel or wooden cylinder& with two horses hauling it& and a driver seated on a driving bench. This is an interesting and finely-detailed model& and would be an excellent decoration for a farm or country scene.As you would expect from Preiser& these figures are of a high quality of manufacture& detail and colouring. Note that I originally paid Â£20 for my set& so it pays to shop around in your local model shops â€“ or even a distant one. I live in London& but find it worth travelling as far as Faversham in Kent to the Hobby Shop there for my models."
34,11,5," A nice little train for our layout and a change. Up to the usual Takara Tomy high standard. The little front light is not that bright but looks OK."
35,12,5," We love Tomica!"
36,13,5," Great product& for the price of the TTS sound I'm very impressed"
37,14,4," This was a present for my brother.  He said it is brilliant and has enjoyed making it. The service I received was good and although it took a little while to arrive it was worth the wait."
38,15,5," An excellent product at an excellent price !!"
39,15,4," Runs well with hornby dcc decoder."
40,16,5," A great addition to the Kato Glacier Express set bringing your train up to a respectable length and it comes in a quality presentation case. Delivery from Japan only takes a couple of weeks. Well worth the money."
41,16,5," Great value& although shipped from Japan arrived in good time."
42,17,4," This is a pretty decent starter set as a first step into model railways.You get a very nice detailed model of the Gloucester City and its tender& and three equally well-detailed model coaches. The locomotive is DCC-ready. (DCC is the digital control system for model railways allowing different trains to run at different speeds o the same tracks - DCC-ready indicates that the loco has a socket into which a DCC module can be slotted in future"
43,17,4," A typical Hornby starter set. The loco is nice and sturdy and has a good weight to it& and for a |railroad| model the detail is very good! The Pullman coaches are equally attractive to look at& and feel as though they will last a good while. The track included& while a fairly minimal amount& is sufficient to get the set moving comfortably. The only downside in my opinion is the controller feels very cheap. I would not expect to see much use from it. However for the fact I am viewing this as simply a test model for something much larger& it will not see too much heavy use anyway. The loco runs smoothly and quietly& and I can't wait to see it running on a much larger layout!"
44,17,5," Great item as usual from Hornby&Loco is well detailed above Hornby's 'Railroad' versions in my opinion.A nice quality set& far too good for younger children who would easily damage& though a good starter set for the enthusiast."
45,17,4," This is a lovely set to own and my only serious reservation is that you really need to spend quite a lot more on extras& to get the best out of it. As a starting point& it's great though.The track is good-quality but does need a flat& solid base. You'll need to spend time getting the creases out of the supplied 1600x1180mm |MidiMat| too.The detailing on the locomotive and carriages is pretty good. The conn rods move nicely and you can see inside the carriages& with their white `table cloths' and gold-coloured lamps. It could be better still but most people will be perfectly happy with it& as I am.The box suggests all sorts of further sets to enhance this one. The Basic Oval and Track Pack A (R8221) are included& to create an extended oval with a siding. Adding Track Packs B and C (R8222 and R8223) gives you a double oval with siding (but just one pair of points connecting them). D and E (R8224 and R8225) make it really interesting& but that's almost Â£100& so far& and you can still add F (R8226) for extra sidings. Oh& and you'll need a new 1800x1200 TrakMat& R8217& to go with packs E and F.Then you'll want to add accessories such as stations& signal boxes and engine sheds. The message is...don't imagine Â£150 for this set will be the end of your expenditure!Without at least the extra track& the set will be pretty dull unless you just want to go round and round in circles with the occasional foray into the siding. Hence 1 star deducted for 'fun'.Some parts& notably some of the couplings& seem rather fragile. I wouldn't recommend this set for younger children and would suggest 8 as an absolute minimum& and only with a lot of adult supervision. 10 or 12 would be better.Read more â€º"
46,17,4," This is the railroad version of the Duke of Gloucester which is slightly less detailed than the top of the range model and consequently less fragile. The three Pullman coaches are also from the Railroad range and do not have interior lighting as do the top of the range models. It is a pity that the roofs are silver and a bit |flashy|& they would have been better in grey. Another slight inconvenience is that the couplings do not match. The loco has the newer style couplings and the coaches the wider older style but this does not impede hooking up however. This train set was a real bargain at the price I paid at the time."
47,18,5," A heavily built unit of excelent quality and exacting standards. Superior to previous incarnations of standard stock and will haul six carriages with relative ease."
48,18,5," Excellent value and has brought all my rolling stock to the modern age of Digital& the Flying Scotsman locomotive has fantastic detail close up and runs so smooth on the tracks it is is a pleasure to see a age of steam."
49,18,4," Beaware...says DCC ready& but only works after you buy the separate dcc decoder (currently Â£16)...Well made train&lovely detail&  but we had to wait whilst we ordered the decoder..slightly annoying!...hence 4 star"
50,18,4," It is a lovely hornby train and maybe& someday& kids can play with it too& hee hee. Best regards. G"
51,18,5," Really impressed with the detail on this model& I have several Hornby models and put them in custom glass cases as static models they really look the part!"
52,18,5," Bought as present for my husband. He was delighted with it. Good price and delivered quickly. Would recommend to others with model railway interests."
53,18,5," Im sure my father will adore his christmas gift."
54,18,5," An excellent model& very detailed& my son actually ended up getting 2 of these for Christmas. The seller wad very understanding and took the product back and issued a full refund without any quibble"
55,19,5," This set arrived on the 27th and was in perfect condition thank you"
56,20,5," An excellent kit of an ex.LMS Stanier non-corridor brake coach that can pass muster as non-corridor stock produced by any of the 'Big Four' railway companies prior to Nationalisation in 1948. Produced from ex.Mainline/Airfix GMR tooling& these are simple to assemble kits that are easy to super-detail."
57,21,5," Really good service and great product. On time for Christmas :)"
58,22,4," I bought this Train set for my son and am a complete novice when it comes to Train sets.The Hornby set feels solid and attention is paid to the detail on the train. It comes with a mat& which is actually a giant printed poster. For the long term& a hard backing is needed.The track layout feels like it is the next size up from a basic layout as it already contains an extension pack.The train itself is not huge and looks silly pulling long  passenger carriages (as it would on a real train).It is quite expensive and had I not seen it at a reduced price& I probably would not have bought it (hence 4 / 5). The train can actually go quite fast in both directions. As novice I have discovered several features that must be well known to train set enthusiasts:The Trains can be tricky to get all wheels on the track. (I think there is an accessory to help with this)Big Long carriages do not like tight bends at speed (they come off).When using points to guide the train onto an inner circuit (I bought more track) you need to get jumper leads from Hornby and these are not included in Extension packs A"
59,22,5," Every child should own a train set& and lately I've started suspecting that every middle-aged man should have one too& so I ordered this so that  me and my little lad will have a shared interest. (And&  if he turns out to be more interested in video games and hoverboards and whatnot& that's OK too: I shall move the layout to my shed and drink homebrew alone& whilst building titchy windmills).It's nice to see& after not handling  a set since the early 70s& that Hornby still maintains that quality old-school feel& lots of detailed modelling and reassuring metal components. This starter set represents a small pre-war Welsh local service& with both passenger and freight carriages& but comes with a printed landscape mat which shows you how you might extend this into a more ambitious layout.It's very difficult to find anything to criticise about this set: I guess everyone knows that Hornby are the Dons of the model railway game& and the price is what it is: They've always been quite expensive toys. One issue might be that most larger layouts now are apparently controlled digitally& whereas this is on an old style analogue controller& which I guess means that if you decide to build up to a set with more trains& etc& this  set would have to run on a separate track?So& I'm really glad i own a trainset again& and am looking forward to spending my dotage buying tiny little tins of humbrol enamel in shades like GWR Olive Drab and staring into the windows of model shops wondering whether to invest in the  1/72 00/H0 Village Garage with Petrol Pump."
60,22,4," My son was purchased this train set for Christmas. My son is mad on trains and loves model train sets set up in shops& museums etc. I have never used a Hornby set before& but it is clearly well thought out& very detailed and is high quality. The first time I put it together I was surprised how fiddly it was& it certainly is not for a child to put together. The track was huge& but there is not an awful lot of variety to the set& it can be oval or circular and that's about it. It comes with a large poster of the ground that is ideal for aesthetics& but in the long term its best to be on some sort of hard backing - and here is where the issue with this is. It is such a great toy& very classic& but to put it on a board is so much more complicated than it appeared for a few reasons. 1. It's huge& to put it on a board you need a dedicated space where it could be on a table or put away in some sort of bespoke contraption. We have allocated space under a double bed for the board. A chunk of MDF this size is around Â£15-Â£20. 2. My second idea when I realised how much floor space it takes up I thought it may be better to go up a mountain for example& but to go up you need to slope very very gradually& otherwise it climbs a bit and slides back down. I put one side sloping up using a how to train your dragon book on each side and two at the end and it couldn't climb up the far end. 3. Once you accept its going to take up a loafs of space& and once you accept it won't slope upwards much you will naturally look to add variety to the track. We looked at having the large oval with two half circles on the inside by adding 3 3rd radius double curves in two places in the middle (total of 6)& as well as one more left hand curve and straight and two right hand curve and straight pieces.Read more â€º"
61,23,5," i am over the moon with this item exemplary service and fantastic value for the item"
62,24,4," It's a power brick& what more can be said? This though was the cheapest source for a non to cheap necessity - why it wasn't bundled I don't know!"
63,24,4," At first I thought it was not for the intended job& but was advised that it was working as expected and was doing the job as required& so it is a good price and very compact"
64,24,5," Works well as expected."
65,24,5," as described"
66,24,5," Just what I wanted"
67,25,4," This is an excellent addition to any diecast collection and a must for Harry Potter fans. Looks great in it's box."
68,25,5," This is a very good quality train. Not one to be played with but defiantly a collectors item for the future."
69,25,5," A great addition to my sons collection& well constructed& great design and attention to detail.  A great buy for any Harry Potter fan."
70,25,5," Toy was brought as a joke present for my father in law. He is Harry Potter obsessed and he enjoyed this gift very much. It is of good durability and looks very authentic."
71,26,5," Thanks very well made L"
72,27,5," Keeps my husband happy. Well impressed"
73,28,5," I have recently decided to rebuild my model railway after many years being stored in a box.  I needed a controller and decided that a Gaugemaster was a good choice.  As I will be building the model railway in stages I wanted something to get me started and the single track contoller was ideal.  It didn't take me long to get it conected which is simple. I found it to be very smooth and I could maintain any speed& even very slow speeds without a problem and it would just run at that speed for as long as needed.  I will in due course buy a Gaugemaster multi track controller but this is ideal for what I need at this time.  I have been using this controller for several weeks now and I am still very pleased with it."
74,28,4," Next day free delivery! Very small& fits easily in the palm of my hand. Screw terminals for the outputs and plug in supply from the transformer input. Very smooth control of locos.Would have preferred the connections on the bottom of the unit for ease of handling."
75,28,5," very happy with my product. works great"
76,29,5," Brilliant! The joy on his face was the picture of Christmas! His reaction when the sound of coal shovelling was heard followed by the toot toot as the train started followed by slow but progressively faster motion of the steam train as it moves left my little boy speechless! A Christmas memory the I will never forget and according to him: |my best present ever!|Jorge"
77,29,4," It arrived late this afternoon. Looks gorgeous. However the 'Flying Scotsman' named engine (60103 according to my 1957 abc Ian Allan book on British Locomotive) was an A3 class not A1. Does Hornby know somethig I don't? I know they moved name plates of engines around but A3s were introduced in 1927 and A1s in 1945."
78,29,5," Bought as present for my myself!. Excellent& well constructed model. Great price and delivered quickly. I believe the |Railroad| range offers great value for all but the most exacting modeler."
79,30,5," yes would recommend it and according to the recipient's wish buy it again perhaps another model"
80,31,5," Lovely little engine& my son loves it& goes very well& he is chuffed to bits with it. Swift delivery before estimated date of arrival. Great value for money."
81,31,5," Good price even with postage. Cheaper than mending my old engine! Arrived earlier than expected."
82,31,5," Arrived before actual delivery date and what I expected so great service. Thank you"
83,31,4," Great Xmas present for son& loves it !"
84,31,5," Adorable little train."
85,31,5," great wee engine"
86,31,5," My Grandson said he didn't like it - he just loved it and it was his favourite Birthday present this year."
87,31,1," Ordered before Christmas and received it& spent Jan building track gave train to my son and it does not work.Found out today I cannot return...."
88,32,5," Just the job. Reasonable"
89,32,4," works great with Hornby engines"
90,32,5," nice 2 see smoke again"
91,33,5," Fab items !"
92,34,5," the cleaning wagon did everything I required it to do much better than I expected it hovered a lot of fluff"
93,34,4," Was bought this for Christmas.Ideal for cleaning track you can't reach.I have heard it derails on Peco points&which my one does.On close inspection I noted the pins on the point rodding sit above track level and catch the buffing/polishing wheel(these can be cut level with the track).The reason for four stars is&when I used the Dapol track cleaning fluid it broke down the adhesive holding the pads to the spinning discs&letting them fall off."
94,34,4," Good hover but abrasive pad and polish pad not so good"
95,34,5," It does exactly as it states on the box - good value. Caution: make sure that your ballast is glued in place!"
96,35,5," Good little train set& something different to the normal with having a crane.The crane is the normal Hornby Breakdown crane& which you can get in a 'steam era' rusty colour or modern painted yellow.  This one is red with a British Rail symbol on the side (like from the 1980s). Of course& that doesn't match with steam train (a few decades out!)"
97,35,5," Great amount of track& high quality crane and boxcar.lovely little loco& its not a |pocket rocket| it runs at a really nice speed for its size& its not a Mallard but its still one of my favourite locos I own(You can tell somethings good when a teenager gives 5 stars)"
98,35,4," Nice starter set - has the standard basic oval and Track Pack one track& and a midi mat. The mat is paper& so not really durable for using over and over again unless you build a baseboard.The locomotive is a little under powered for the wagons - you need to be quite gentle setting off to prevent slipping& and the crane is quite hard to position on the rails& so maybe not the best for younger children who might get frustrated with.The detail on the engine is quite basic - if you like realism a bit of weathering may be good to make it look a bit better. The crane is lovely and nicely detailed."
99,35,5," Present for My Son looks simple and different His first train set and a fair price"
100,36,5," Took a little time to work out the instructions which were in Japanese& but now working well and a great item."
101,37,5," Kato - made in Japan. Top quality N-gauge chassis. Picks up on all 8 wheels& drives through 4 wheels on one bogie. This is useful as it's easy to shorten or lengthen the chassis to suit. I am using it under a 009 diesel kit and have had to shorten it by about 3mm to suit. This was quite easy and much easier than most 8 wheel drive chassis. The chassis itself is an excellent and smooth runner. Gaugemaster deliver well packaged and promptly."
102,37,5," An excellent little motor unit for the railway on my model pier. It runs very smoothly on two AA batteries at a suitable speed. I just have to build a tram body around it that looks authentic for the surroundings. I have also ordered a four-wheel version."
103,37,5," Useful 4 axle chassis for N or OO9 gauge scratchbuilding& trams etc. Can be adapted to fit Yesteryear and TyPhoo trams. Very smooth running& good at low speeds."
104,38,4," I don't own any of Heljan's 47 but I find these Bachmanns (Diamond Jubilee is one of three recent additions) to be a huge improvement on the now ageing Lima models& but certainly worth the additional cost."
105,39,5," These are really nice quality HO coaches and lightweight too& so you can pull quite a number behind even the smallest loco.I bought several for branch line operation and they certainly add inpact to the layout."
106,40,5," great"
107,41,4," Just built one of these! The body is self coloured in the right colour and the sides are lined out and lettered. The ends need to be painted black. Apart from the roof ventilators (which can be glued inside the roof) the whole kit clicks together ingeniously. It took about 10 mins to assemble this kit and the next will take more like 4 minutes. The only transfers/decals are the round LMS logos you can see in the centre.I don't agree with the assembly instructions! The body comprises sides ends and floor in a single piece. There is a rectangular cutout in the floor for the metal weight. I would fit the interior seat moulding into the body first. There is very little space between the compartment walls and the side of the coach to feed the flush-glaze window strips in. (They can't go in first) Particularly on the 2nd window strip I was concerned that I might overstretch the coach side at the end and make the plastic go milky. I was relieved when the glazing clicked into the windows. At that point& with the windows correctly in place& the corridor connections can be slid in the ends and the underframe offered up to the body (upside down with the metal weight located). The underframe latches actually click into the window strips to tie it all together. Likewise the roof clicks onto tabs on the window strips. Ingenious!Assembling and fitting the bogies was quite easy. The coupling retainers were fiddly though. Each coupling is plastic with a black metal hook. One of the hooks fell off. There is a C shape feature which clips onto a plastic bar and I needed to crunch it slightly with pliers& then adjust outwards with a screwdriver again until it clicked into place. The hook doesn't lift and drop as freely as it should now. It's on account of that and not being able to build the coach in the assembly instruction order (without feeling I was going to break something) that I've docked a star."
108,42,5," I received this lovely train today and I am really happy with this purchase. I am not a collector but this is a gift for my father in law and I am sure he is going to love it. It is really well packaged& comes in its corgi box. Inside this box is a hardened case and the train is secured in it. The attention to detail is fantastic. It is in perfect condition and I am sure that this will make a lovely addition to anyone's collection. I really like the stories behind these trains and choosing of the name. It arrived really well packaged and very fast&4 days early in fact.  Great buy. May turn me into a collector yet!"
109,42,5," Well made and highly detailed model"
110,42,5," VERY GOOD AND ACCURATE MODEL OF THE DAYS OF STEAM. WELL DONE. Fits perfectly in my display cabinet with the other"
111,43,5," Happy with this purchase for our 4 year old grandson who is trainset mad."
112,44,5," Excellent engine arrived a day earlier than expected& extremely well wrapped. New and about Â£10 less than the list price. Just had a test both ways on my layout& runs brilliantly- thanks guys."
113,44,5," My son was very pleased with the product"
114,45,5," Arrived in good time. All good and works well. Son is very happy. Thank you."
115,46,5," So cheap but an excellent product. At this price any bulb failures experienced after switch on are no problem - just re-order some more. Arrived on time and were well packed. I don't know how this level of authenticity can be available at such a low price."
116,46,5," The item was excellent but the scale was 1/100 I would have preferred 1/76 scale. Some information of how to set up the lighting system would have been helpful ie. the size of transformer required for the no of lights being used in parallel or in series"
117,46,5," the single head lamppost lamps complimented the double head lamppost purchased to complete the trainset layout"
118,46,5," These are great& so bright and value for money"
119,47,5," My first venture into Hornby's new TTS system - I only have a basic Bachmann E-Z controller which can only provide functions 1 to 9 which work ok - I have no idea what functions 10 to 18 do - very frustrating.  All the mags have tested TTS so no need for me to comment - the chuff is too loud in my book& but otherwise I'm very pleased indeed with my purchase..."
120,47,5," Top notch train with sound& as good as the Bachman version."
121,47,5," Typical Hornby quality especially with their own sound chip which probably knocks over Â£120 off having to have one fitted."
122,47,4," Looks great& well packaged and arrived quickly..what more do I want"
123,47,3," With TTS Sound& this is a bargain. Smooth-running and nicely finished. 3 issues though: Not as detailed as the Bachmann version"
124,48,5," Very good product with fast delivery"
125,49,5," Absolutely great exactly what it should be.good quality. A very pleased partner"
126,50,5," delivered ahead of estimated date and is a first class item"
127,51,5," Excellent swift service and quality product."
128,52,4," A very good train set and very popular with the young infants in my family (from 2-5 years old).  The range of layouts that you can build is good and the pieces are easy to assemble even for little ones.  Both trains run well in the tracks.  The wood is a good fine grain that does not splinter easily& and is well finished& so is safe for children to handle.  It is also quite robust.  A couple of minor issues.  The track supports for the elevated section are rather too narrow and can fall over easily.  If they were a square section they would be more stable and support the elevated pieces much better.  This can be remedied by cutting duplicate supports and glueing them together to make the square cross section.  Also a couple of extra pieces to act as joining pieces would help add yet more variety to the layout designs.  One that is needed is another double hole joint and the other a double plug connector.  Nevertheless overall it is a highly recommended product that can keep youngsters safely occupied for hours.  But for these minor failings I would have given it 5 stars."
129,52,4," The only problem is that you have to play very delicately with parts of the set as the bridges are raised up on wood blocks that are easily knocked over by small hands and feet."
130,52,5," Fantastic train set& my 2y/o loved this.  A few of the connector pieces have come out but that is easily fixed- otherwise excellent condition and good value for money"
131,52,1," Looks great but poorly designed. Most of the track is raised up on wooden blocks easy to knock over my 3 year old was unable to use easily."
132,53,5," A superb model from Hornby of the ex.GER J15 0-6-0 mixed traffic locos which I remember regularly seeing in my 1950's childhood during long holidays with my grandparents in rural East Anglia. Only so far given limited test running this loco will soon feature on a layout currently being built based on the old GER Audley End - Bartlow branchline. Runs very nicely and incorporates a stunning amount of fine detail. Has me feeling quite sentimental !"
133,54,5," Walthers Trainline make great&  but not expensive freight cars - and they couple closer than Bachmann cars"
134,55,5," This is a first class model& up to the usual Kato standard. A superb runner& straight out of the box."
135,56,5," Excellent for the purpose  for which I bought it - making rock formations for a model raileway"
136,57,4," this is a suppurb addion to any train set n kids love hanging mail bags on the hook that the coach picks up n drops off as it goes round only problem is the the trigger mechonisums are a fiddle to fit to track n keep popping off! the instuction are naff but the drop-off works well over |railer uncoupler| track&"
137,57,5," This is a new addition to my Flying Scotsman train set& and fits in well with the other coaches already added."
138,57,5," Amazing. It really works.  Well done hornby."
139,57,5," A birthday present from my daughter to give me something to do over Xmas. I found it reasonably easy to fit to my track and with a few minor adjustments could pick up the sacks of mail. The grandchildren will enjoy this extra activity on an already busy layout."
140,58,5," Train set received in excellent condition good quality and worth the money as u receive additional trake side acceceriesAnd delivered well within time scale will be buying more item's in near future keep up the good work."
141,58,5," I bought this product for my younger brother's Christmas. It arrived well within the proposed delivery period& and in perfect condition. All of the relevant paper-work was included& and - most importantly - its intended recipient is thrilled."
142,58,5," Youngest son bought this with his birthday money. He is over the moon with it."
143,58,5," Good quality & well worth money  was delivered in good time"
144,58,5," My son loved it and best value I was able to find on the market& didn't disappoint and added track B very effectively."
145,58,5," This was a very good purchase for Christmas was a larger layout than expected but very good all the same"
146,58,5," bought this for my 7 year old son& its for xmas so he hasnt seen it yet& but im very pleased."
147,58,5," Great train set my grandson loved it.  P BARBER."
148,59,5," These signals are good value for money and are relatively straightforward to assemble from the instructions. Definitely worth a try for your first attempt."
149,59,5," Great product."
150,60,5," This is the older E7 model from Kato but still carries there quality hallmark& It fits in great with my Japanese model railway although you do need the 3 or 6 car extension to give it a better feel."
151,60,5," SMOOTH RUNNING TRAIN VERY PLEASED WITH DELIVERY"
152,61,4," Excllent model with accurate details."
153,62,5," See review for over head station"
154,62,5," All good"
155,63,5," Good track& good tight fitting& perfect&"
156,63,4," good product"
157,64,5," Bought as it's cheaper than the alternatives for basically the same thing. Looks the part& engine drive not tender thankfully. Very well detailed and the seller I bought from was faultless& arriving by Parcelforce three days later."
158,64,5," This is a really nice looking model train.It is DCC ready and in the oo gauge scale.The details are really nice and I just love the colour of this model train.I have wanted this for a long time and I am not disappointed by it at all.My ratings of this model train are 5 star for fun as when this is on anyone's track it will not disappoint in the fun it will bring you.The educational value I have left blank as I don't really think that there is any educational value to this as its there to be looked at or used on a model railway track to be an addition to a collection of your model railway.The durable rating is 4 star as it feels nicely made and solid however I am sure if its dropped from a height then it would most probably cause damage and finally the overall rating is a 5 star as its a beautiful addition to any model railway.Highly recommended to any model train enthusiast or simply as a decorate model to just look at either way I am sure you would love this train."
159,64,5," This model is very reasonably priced & and the best thing about Hornby Railroad series models you can upgrade them with extra partsto look more realistic but they are good realistic models at the price in there own right& Recommended"
160,64,5," This model is equal in looks and performance to the more expensive Hornby version& although having a different motor& it pulls at least 6 coaches smoothly and easily."
161,64,4," bought this for my son's birthady later this month so rating is based on the quality of the other Hornby we bought at the same time for Christmas"
162,64,5," Railroad offers more robust options for younger users while still offering good performance. This product at this price represents outstanding value."
163,64,5," excellent value and could not ask for better service the engine was spot on and great value for money great"
164,64,5," A nice loco. BUT it does&nt go round tight curves& if the track is the new Hornby standard"
165,65,4," Runs well...need some mock passengers in the seats!"
166,66,5," My daughter loves this and runs and jumps about with excitement"
167,66,4," Loses a star for being too loud. It's great& otherwise. The lights are pretty and the bump and go movement is fun for my 3 year old."
168,67,5," Great model"
169,68,4," Arrived as expected and worked fine straight out of the box. It seems slightly wider than most so be careful if you use parallel tracks& especially flexible track."
170,68,5," Quick delivery& excellent great looking train set& very smooth running and fast. Good value with 4 car set& no problems at all with it."
171,68,5," Great train set for any enthusiast and a must have for all modern train sets"
172,68,4," Very good track needs to be on a board"
173,68,4," Good model"
174,69,5," Fantastic detail! A beautiful model traction engine. Hopefully recipient will be thrilled as brought up in the town where Pat Collins lived and became Mayor. His Wakes were held yearly during August Bank Holiday and were the highlight of summer. These beautiful traction engines were then always used to power the rides and alongside fairground organs are pure nostalgia!"
175,70,5," easy to couple with other models& great to expand set of power trains.  This is ideal as a gift to complement the starter kit which come with only one engine"
176,71,5," I bought this for my 2 year old grandson and he loves it so much. I have also bought him others in the series. They are very strong toys due to being die cast and do take a lot of banging and bumping about during play& without damage to their paintwork.My grandson is obsessed with rescue scenarios at the moment and loves to bring Kevin in to help if James crashes. The fact that James talks too enthralls him. He get's so excited everytime he gets a new engine& as he wants to hear what it sounds like. He has to date..Thomas& Spencer& Percy& Diesel& Toby&and some other's. He has Bertie bus and a small Harold too.It's great they have magnets too which means all the engines can pull each other and their tender's. He likes to swap them all about and put them all together in a long line. This is one of the toys I've seen him having the most pleasure from so far. He plays contentedly for hours with these engines& making up his own scenarios.I have more of these put away for him& and have just given him Spencer which he again loved.One little comment& I wish it was made plain in Amazon's product details which ones talk and don't. Which are die cast etc& I find myself sometimes going through products for an age& or going to other sites& to make sure I have the right one.Sometimes a search for talking brings up non talking in the mix as well. Not a major point and not a dig at Amamzon as I use them constantly and I'm always pleased with the service& but it would make shopping for these quicker and easier. Brilliant toys all round& great fun and kids love them."
177,71,5," Great little engine! My son loved the fact he lights up and makes sounds."
178,71,5," As all these toys this one does not disappoint. They are hardy toys which is a good thing with my 3 year old son and he gets alot of enjoyment out of them.Would recommend."
179,71,5," Lovely little toy& robust& well made and very amusing that it talks& will keep my Grandson happy for a while& shame its not a little bit larger but very pleased with it."
180,71,5," quite small-but perfect for any small Thomas lovers- my 2 year old nephew never lets Thomas or James out of his sight!!!"
181,72,4," The carriage arrived promptly & it is in good condition and described accurately. It was a little expensive although a little cheaper than a new product. In retrospect i would make the purchase again."
182,73,5," Excellent.  Well worth the wait for delivery from Japan. Fits n gauge passenger coaches really well. My 2nd purchase of this product from this supplier. Thank you."
183,73,5," A quality storage case for your N gauge trains. Easy to remove inserts. You just pull out the ones you want. No cutting is needed. My Kato train set fits perfectly."
184,74,5," Just what was required& a good buy& thanks!"
185,75,4," I paid 170. At that price it would have been nice to have a dcc chip supplied with the loco .Having said that& most of these are destined for display cabinets& as is mine. For that reason& it loses a star. Superb in every other respect."
186,76,5," Everything you need to get started bought seperately this set would be double the price - all you need is two DIY paste tables a room to put them in and a big kid to set up and a little kid if he is lucky to watch and join ion a little bit"
187,76,4," At Â£50 this is a bargain and a really good set to start off a model train hobby. My 5 year old was desperate to have his own proper train set and I was concerned over getting one of the >Â£100 sets so this fit the bill. The track mat is a great idea and didn't take long to assemble it all.My only problem was with the controller. Everytime there was a derailment& the controller would stop working for about 1 minute& one of it's safety features. I gave up with it in the end and got a better one off the Internet."
188,76,4," NOW ALL WE NEED TO DO IS KEEP BUILDING&AND HE'S LOOKING FORWARD TO THAT :) THIS IS HIS FIRST TRAIN SET AGE 7."
